date,l,m,h,na,sum
2005-08-05,0,0,0,15,15
2005-08-06,0,0,0,46,46
2005-08-07,0,0,0,84,84
2005-08-08,0,0,0,6,6
2005-08-09,0,0,0,4,4
2005-08-11,0,0,0,79,79
2005-08-12,0,0,0,98,98
2005-08-13,0,0,0,97,97
2005-08-14,0,0,0,124,124
2005-08-15,0,0,0,168,168
2005-08-16,0,0,0,163,163
2005-08-17,0,0,0,171,171
2005-08-18,0,0,0,172,172
2005-08-19,0,0,0,54,54
2005-08-20,0,0,0,47,47
2005-08-21,0,0,0,46,46
2005-08-22,0,0,0,17,17
2005-08-23,0,0,0,27,27
2005-08-24,0,0,0,27,27
2005-08-25,0,0,0,36,36
2005-08-26,0,0,0,56,56
2005-08-27,0,0,0,114,114
2005-08-28,0,0,0,89,89
2005-08-29,0,0,0,105,105
2005-08-30,0,0,0,77,77
2005-08-31,0,0,0,28,28
2005-09-01,0,0,0,10,10
2005-09-02,0,0,0,12,12
2005-09-03,0,0,0,17,17
2005-09-04,0,0,0,54,54
2005-09-05,0,0,0,42,42
2005-09-06,0,0,0,14,14
2005-09-07,0,0,0,98,98
2005-09-08,0,0,0,165,165
2005-09-09,0,0,0,263,263
2005-09-10,0,0,0,181,181
2005-09-11,0,0,0,181,181
2005-09-12,0,0,0,18,18
2005-09-13,0,0,0,18,18
2005-09-14,0,0,0,38,38
2005-09-15,0,0,0,5,5
2005-09-16,0,0,0,6,6
2005-09-17,0,0,0,4,4
2005-09-18,0,0,0,7,7
2005-09-19,0,0,0,14,14
2005-09-20,0,0,0,13,13
2005-09-21,0,0,0,10,10
2005-09-22,0,0,0,62,62
2005-09-23,0,0,0,69,69
2005-09-24,0,0,0,4,4
2005-09-25,0,0,0,6,6
2005-09-26,0,0,0,6,6
2005-09-27,0,0,0,14,14
2005-09-28,0,0,0,14,14
2005-09-29,0,0,0,11,11
2005-09-30,0,0,0,5,5
2005-10-01,0,0,0,3,3
2005-10-02,0,0,0,3,3
2005-10-03,0,0,0,3,3
2005-10-04,0,0,0,6,6
2005-10-05,0,0,0,11,11
2005-10-06,0,0,0,13,13
2005-10-07,0,0,0,3,3
2005-10-08,0,0,0,3,3
2005-10-09,0,0,0,1,1
2005-10-10,0,0,0,2,2
2005-10-11,0,0,0,2,2
2005-10-12,0,0,0,2,2
2005-10-13,0,0,0,2,2
2005-10-14,0,0,0,373,373
2005-10-15,0,0,0,7,7
2005-10-16,0,0,0,3,3
2005-10-17,0,0,0,3,3
2005-10-18,0,0,0,6,6
2005-10-19,0,0,0,6,6
2005-10-20,0,0,0,7,7
2005-10-21,0,0,0,6,6
2005-10-22,0,0,0,4,4
2005-10-23,0,0,0,1,1
2005-10-24,0,0,0,13,13
2005-10-25,0,0,0,15,15
2005-10-26,0,0,0,13,13
2005-10-27,0,0,0,5,5
2005-10-28,0,0,0,5,5
2005-10-31,0,0,0,6,6
2005-11-01,0,0,0,4,4
2005-11-02,0,0,0,6,6
2005-11-03,0,0,0,4,4
2005-11-04,0,0,0,3,3
2005-11-05,0,0,0,1,1
2005-11-08,0,0,0,1,1
2005-11-10,0,0,0,3,3
2005-11-12,0,0,0,1,1
2005-11-16,0,0,0,2,2
2005-11-18,0,0,0,7,7
2005-11-19,0,0,0,2,2
2005-11-20,0,0,0,2,2
2005-11-21,0,0,0,7,7
2005-11-22,0,0,0,5,5
2005-11-28,0,0,0,3,3
2005-11-29,0,0,0,5,5
2005-11-30,0,0,0,1,1
2005-12-01,0,0,0,1,1
2005-12-02,0,0,0,1,1
2005-12-03,0,0,0,1,1
2005-12-05,0,0,0,2,2
2005-12-06,0,0,0,2,2
2005-12-07,0,0,0,2,2
2005-12-16,0,0,0,1,1
2005-12-20,0,0,0,1,1
2005-12-23,0,0,0,1,1
2005-12-26,0,0,0,1,1
2005-12-27,0,0,0,10,10
2005-12-28,0,0,0,10,10
2005-12-29,0,0,0,3,3
2005-12-30,0,0,0,1,1
2006-01-01,0,0,0,9,9
2006-01-02,0,0,0,1,1
2006-01-03,0,0,0,2,2
2006-01-04,0,0,0,1,1
2006-01-05,0,0,0,4,4
2006-01-06,0,0,0,3,3
2006-01-07,0,0,0,3,3
2006-01-08,0,0,0,6,6
2006-01-09,0,0,0,4,4
2006-01-11,0,0,0,2,2
2006-01-13,0,0,0,1,1
2006-01-16,0,0,0,1,1
2006-01-19,0,0,0,2,2
2006-01-20,0,0,0,1,1
2006-01-21,0,0,0,1,1
2006-01-22,0,0,0,1,1
2006-01-24,0,0,0,1,1
2006-01-25,0,0,0,3,3
2006-01-26,0,0,0,4,4
2006-01-27,0,0,0,2,2
2006-01-28,0,0,0,1,1
2006-01-31,0,0,0,3,3
2006-02-01,0,0,0,1,1
2006-02-04,0,0,0,2,2
2006-02-05,0,0,0,2,2
